"City","Location","Jan-Mar 2010 Index","Apr-Jun 2010 Index","Jul-Sept 2010 Index","Oct-Dec 2010 Index","Jan-Mar 2011 Index","Apr-Jun 2011 Index","Jul-Sept 2011 Index","Oct-Dec 2011 Index"," 
Jan-Mar 2012 Index"," 
Apr-Jun 2012
Index"," 
Jul-Sep 2012 Index"," 
Oct-Dec 2012 Index"
"Delhi","Vasant Vihar & Friends Colony  ",104,106,112,120,110,119,138,143,143,177,177,178
"Delhi","South Ext & Sagdarjung Enclave  ",114,124,126,126,144,143,149,162,154,158,150,160
"Delhi","Vasant Kunj, Punjabi Bagh & Shalimar Extension",128,117,140,168,135,118,121,203,219,232,240,260
"Delhi","Mayur Vihar,Dwarka, Pitampura 
Noida, Greater Noida, Gurgaon & Ghaziabad",110,139,112,113,149,169,147,150,157,123,162,188
"Delhi","Yamuna Vihar, Inderpuri & Rohini  ",110,111,115,121,106,136,152,171,175,177,152,167
"Delhi","Govind Puri, Raghubir Nagar, Tri Nagar, Dilshad Garden, Karampura, Nirankari Colony, Pandav Nagar",85,76,93,110,126,139,146,132,133,135,154,179
"Delhi","Dakshinpuri, Hari Nagar, Jahangir Puri, Jhilmil Colony, Sangam Vihar, Mangol Puri, Ghazipur Dairy, Khyala(I-III), Sriniwas Puri, Sultan Puri",90,98,97,102,115,203,225,199,178,183,185,195
"Banglore","Lavella Road etc",60,61,66,86,138,135,138,190,190,206,206,261
"Banglore","Richmond Town, Indira Nagar, HAL II & III stage, Domlur Layout, Sadashiv Nagar, Benson Town",71,71,133,138,100,111,109,131,123,129,111,139
"Banglore","Jaya Nagar,Rajaji Nagar, Koromagala,Air Port Road, Basveshwar Nagar, Malleshwaram, J P Nagar, Banashankari, R.T Nagar, Vijay Nagar                      ",67,69,72,88,82,73,90,82,74,84,93,77
"Banglore","Madivala, Banaswadi , Jagjeevan Ram Nagar, Yeswanthapura, Mathikhere, BTM Layout, Sultanpalya, Lingarajpura, BCC Layout",67,81,75,134,76,96,75,85,75,80,75,92
"Mumbai","Cuffe Parade, Malabar Hill",99,125,144,145,206,201,247,243,212,210,210,249
